"","year","size_sex","AVG_BT","TEMP_OCC"
"1",1988,"immature_female",0.80979020979021,-0.975672017191129
"2",1988,"male31to60",0.80979020979021,-0.967451331693666
"3",1988,"male61to90",0.80979020979021,0.281186623523556
"4",1988,"male91to120",0.80979020979021,0.542204428911427
"5",1988,"mature_female",0.80979020979021,0.600526616535523
"6",1988,"pop",0.80979020979021,-0.125266421990406
"7",1989,"immature_female",2.42645364600221,1.80840503405907
"8",1989,"male31to60",2.42645364600221,1.29543954391725
"9",1989,"male61to90",2.42645364600221,2.30723097965698
"10",1989,"male91to120",2.42645364600221,2.83212044374546
"11",1989,"mature_female",2.42645364600221,2.47231294140087
"12",1989,"pop",2.42645364600221,2.2337442690235
"13",1990,"immature_female",0.737871614446353,-0.383739037910305
"14",1990,"male31to60",0.737871614446353,-0.628892101449974
"15",1990,"male61to90",0.737871614446353,-0.166797321283947
"16",1990,"male91to120",0.737871614446353,0.781745706614302
"17",1990,"mature_female",0.737871614446353,1.46521368594346
"18",1990,"pop",0.737871614446353,0.483254368542582
"19",1991,"immature_female",0.846212535614376,0.295158479164113
"20",1991,"male31to60",0.846212535614376,0.111621349173784
"21",1991,"male61to90",0.846212535614376,0.141080577781803
"22",1991,"male91to120",0.846212535614376,1.21242322438571
"23",1991,"mature_female",0.846212535614376,1.51508238317911
"24",1991,"pop",0.846212535614376,0.736922400702931
"25",1992,"immature_female",0.181772755752021,-0.450161575687626
"26",1992,"male31to60",0.181772755752021,-0.301133798930161
"27",1992,"male61to90",0.181772755752021,-0.54835221659604
"28",1992,"male91to120",0.181772755752021,0.630813702597127
"29",1992,"mature_female",0.181772755752021,0.897802068737893
"30",1992,"pop",0.181772755752021,0.118076078047219
"31",1993,"immature_female",1.78142450928891,0.549455837716711
"32",1993,"male31to60",1.78142450928891,0.178699523774749
"33",1993,"male61to90",1.78142450928891,0.889570372027889
"34",1993,"male91to120",1.78142450928891,1.81335431568831
"35",1993,"mature_female",1.78142450928891,1.20932086339217
"36",1993,"pop",1.78142450928891,0.663400713816046
"37",1994,"immature_female",0.0302006707856187,-1.58577481537627
"38",1994,"male31to60",0.0302006707856187,-1.48910403013047
"39",1994,"male61to90",0.0302006707856187,-0.88340320757021
"40",1994,"male91to120",0.0302006707856187,0.0939081844416616
"41",1994,"mature_female",0.0302006707856187,-0.270313070528574
"42",1994,"pop",0.0302006707856187,-1.08113494257926
"43",1995,"immature_female",0.0946394845456529,-1.36713944257592
"44",1995,"male31to60",0.0946394845456529,-1.06536825637248
"45",1995,"male61to90",0.0946394845456529,-0.280324492206669
"46",1995,"male91to120",0.0946394845456529,0.816664478066692
"47",1995,"mature_female",0.0946394845456529,0.346178673408392
"48",1995,"pop",0.0946394845456529,-0.311770775319771
"49",1996,"immature_female",2.13146853146853,-0.0143767917517003
"50",1996,"male31to60",2.13146853146853,0.724336453840322
"51",1996,"male61to90",2.13146853146853,1.64171926355342
"52",1996,"male91to120",2.13146853146853,2.17687540755949
"53",1996,"mature_female",2.13146853146853,2.6306572510034
"54",1996,"pop",2.13146853146853,1.86566840053523
"55",1997,"immature_female",1.43390969421647,-1.21779098714064
"56",1997,"male31to60",1.43390969421647,-0.782254878539567
"57",1997,"male61to90",1.43390969421647,0.83026147979689
"58",1997,"male91to120",1.43390969421647,1.49012589493604
"59",1997,"mature_female",1.43390969421647,1.79793413700432
"60",1997,"pop",1.43390969421647,1.25661407326216
"61",1998,"immature_female",2.04168194476939,1.21996288771423
"62",1998,"male31to60",2.04168194476939,0.962522938249175
"63",1998,"male61to90",2.04168194476939,1.61245956598051
"64",1998,"male91to120",2.04168194476939,2.07369814912043
"65",1998,"mature_female",2.04168194476939,1.74393124594102
"66",1998,"pop",2.04168194476939,1.5854922617499
"67",1999,"immature_female",0.239938029802739,-1.36647514887878
"68",1999,"male31to60",0.239938029802739,-1.28729543806399
"69",1999,"male61to90",0.239938029802739,-0.386845900890847
"70",1999,"male91to120",0.239938029802739,0.393126316547106
"71",1999,"mature_female",0.239938029802739,0.414444526472192
"72",1999,"pop",0.239938029802739,-0.124269711666643
"73",2000,"immature_female",1.38122550391679,-0.637926576877615
"74",2000,"male31to60",1.38122550391679,-0.425260717584983
"75",2000,"male61to90",1.38122550391679,0.648781600604462
"76",2000,"male91to120",1.38122550391679,1.59375217792671
"77",2000,"mature_female",1.38122550391679,1.82798212409321
"78",2000,"pop",1.38122550391679,1.02282227038752
"79",2001,"immature_female",1.73814311113051,0.00165293885792097
"80",2001,"male31to60",1.73814311113051,0.00835416416834442
"81",2001,"male61to90",1.73814311113051,1.05629682501292
"82",2001,"male91to120",1.73814311113051,1.68049488261651
"83",2001,"mature_female",1.73814311113051,1.4804209296246
"84",2001,"pop",1.73814311113051,0.890700806373968
"85",2002,"immature_female",2.08273376040784,0.48036101816114
"86",2002,"male31to60",2.08273376040784,0.448526648962286
"87",2002,"male61to90",2.08273376040784,1.00636707635853
"88",2002,"male91to120",2.08273376040784,1.34952501698476
"89",2002,"mature_female",2.08273376040784,2.31922942513113
"90",2002,"pop",2.08273376040784,1.47095060267803
"91",2003,"immature_female",2.8626934806202,0.74582461216593
"92",2003,"male31to60",2.8626934806202,0.654645591076953
"93",2003,"male61to90",2.8626934806202,1.90672190729905
"94",2003,"male91to120",2.8626934806202,2.84621101692064
"95",2003,"mature_female",2.8626934806202,3.57134658636711
"96",2003,"pop",2.8626934806202,1.82126251258528
"97",2004,"immature_female",2.01690135437943,1.53721674048253
"98",2004,"male31to60",2.01690135437943,0.977356392570055
