"","year","size_sex","Lat_COD"
"143",2011,"mature_female",60.0595036790932
"144",2011,"pop",60.2569452649666
"145",2012,"immature_female",59.7894002853157
"146",2012,"male31to60",60.6562055843797
"147",2012,"male61to90",59.4527564048388
"148",2012,"male91to120",58.2513404403431
"149",2012,"mature_female",59.3586850514654
"150",2012,"pop",59.6770578624963
"151",2013,"immature_female",59.3477161182897
"152",2013,"male31to60",60.1163712962246
"153",2013,"male61to90",59.170582075881
"154",2013,"male91to120",58.1018411895978
"155",2013,"mature_female",59.2705658504329
"156",2013,"pop",59.4004636079035
"157",2014,"immature_female",59.0832500807582
"158",2014,"male31to60",59.6451495203314
"159",2014,"male61to90",59.3089928933185
"160",2014,"male91to120",57.9821699430872
"161",2014,"mature_female",58.6611039438254
"162",2014,"pop",58.9679203651775
"163",2015,"immature_female",59.9848833990333
"164",2015,"male31to60",60.1534495543666
"165",2015,"male61to90",59.4608333874813
"166",2015,"male91to120",58.8182545802182
"167",2015,"mature_female",58.5855003211575
"168",2015,"pop",59.5843606302148
"169",2016,"immature_female",60.8825341685893
"170",2016,"male31to60",61.0622937038928
"171",2016,"male61to90",59.7509281585216
"172",2016,"male91to120",59.3162536061666
"173",2016,"mature_female",58.9295340850823
"174",2016,"pop",60.6471875282177
"175",2017,"immature_female",61.0193328374313
"176",2017,"male31to60",60.8727086330717
"177",2017,"male61to90",59.8801548433016
"178",2017,"male91to120",59.5691314322006
"179",2017,"mature_female",59.8745625977721
"180",2017,"pop",60.5601751867145
"181",2018,"immature_female",60.8662600051073
"182",2018,"male31to60",60.5962208254968
"183",2018,"male61to90",59.8734408468113
"184",2018,"male91to120",58.7878624187514
"185",2018,"mature_female",59.8531138146937
"186",2018,"pop",60.2874213844611
"187",2019,"immature_female",61.7404510782254
"188",2019,"male31to60",60.9981197934182
"189",2019,"male61to90",60.1656515488315
"190",2019,"male91to120",59.5536219147129
"191",2019,"mature_female",60.1168383242323
"192",2019,"pop",60.2432272987005
