"","R","m","logLik","K","AICc","dAICc"
"1","unconstrained",1,-59.8341689095279,9,139.76136107487,0
"2","diagonal and unequal",1,-66.2593408419413,6,145.462501908602,5.70114083373193
"3","diagonal and equal",1,-77.1535168553097,4,162.74659415018,22.98523307531
"4","equalvarcov",1,-76.0741472797965,5,162.81496122626,23.0536001513899
