SURVEY_YEAR,REGION,SIZE1,ABUN_FEMALE_IMM,ABUN_FEM_MAT,TOTAL_ABUN
2017,EBS,56,8680145.79,74263526.75,82943672.54
2017,EBS,57,5457512.48,53043091.96,58500604.44
2017,EBS,58,2768449.26,62951526.85,65719976.11
2017,EBS,59,1690557.44,42308629.03,43999186.47
2017,EBS,60,1241085.88,23514296,24755381.88
2017,EBS,61,538376.93,29330413.27,29868790.2
2017,EBS,62,882041.42,16907792.1,17789833.52
2017,EBS,63,208403.22,17973845.75,18182248.97
2017,EBS,64,254093.94,16210196.79,16464290.73
2017,EBS,65,28032,15277734.99,15305766.99
2017,EBS,66,140160.02,12586263.42,12726423.44
2017,EBS,67,0,8667382.32,8667382.32
2017,EBS,68,28032,4692338.76,4720370.76
2017,EBS,69,56064.01,6699556.51,6755620.52
2017,EBS,70,28032,3177445.26,3205477.26
2017,EBS,71,84096.01,2864429.61,2948525.62
2017,EBS,72,28032,2176518.37,2204550.37
2017,EBS,73,0,1539160.42,1539160.42
2017,EBS,74,56064.01,1341279.25,1397343.26
2017,EBS,75,0,724372.44,724372.44
2017,EBS,76,0,526310.66,526310.66
2017,EBS,77,28032,1023595.78,1051627.78
2017,EBS,78,0,355273.04,355273.04
2017,EBS,79,0,63990.17,63990.17
2017,EBS,80,0,57886.77,57886.77
2017,EBS,81,0,18103.64,18103.64
2017,EBS,82,0,0,0
2017,EBS,83,0,115710.47,115710.47
2017,EBS,84,0,47650.12,47650.12
2017,EBS,85,0,0,0
2017,EBS,86,0,0,0
2017,EBS,87,0,0,0
2017,EBS,88,0,27782.88,27782.88
2017,EBS,89,0,0,0
2017,EBS,90,0,0,0
2017,EBS,91,0,1899203.69,1899203.69
2018,EBS,8,196475.67,0,196475.67
2018,EBS,9,28189.77,0,28189.77
2018,EBS,10,55698.18,0,55698.18
2018,EBS,11,0,0,0
2018,EBS,12,0,0,0
2018,EBS,13,31594.59,0,31594.59
2018,EBS,14,17131.02,0,17131.02
2018,EBS,15,34262.04,0,34262.04
2018,EBS,16,75916.65,0,75916.65
2018,EBS,17,27917.4,0,27917.4
2018,EBS,18,65318.38,0,65318.38
2018,EBS,19,79733.83,0,79733.83
2018,EBS,20,0,0,0
2018,EBS,21,482881.34,0,482881.34
2018,EBS,22,145010.58,0,145010.58
2018,EBS,23,503099.15,0,503099.15
2018,EBS,24,1459018.25,0,1459018.25
2018,EBS,25,1793926.15,27697.86,1821624.01
2018,EBS,26,4073703.69,55395.72,4129099.41
2018,EBS,27,3878690.61,27697.86,3906388.47
2018,EBS,28,6937667.69,55395.72,6993063.41
2018,EBS,29,6444554.14,0,6444554.14
2018,EBS,30,6570523.53,0,6570523.53
2018,EBS,31,4946726.86,0,4946726.86
2018,EBS,32,5171107.93,0,5171107.93
2018,EBS,33,1754479.81,0,1754479.81
2018,EBS,34,1614226.34,26865.92,1641092.26
2018,EBS,35,882260.93,739453.18,1621714.11
2018,EBS,36,2271564.92,0,2271564.92
2018,EBS,37,3752549.06,17728.8,3770277.86
2018,EBS,38,56483090.47,7890593.62,64373684.09
2018,EBS,39,46798024.85,1258840.61,48056865.46
2018,EBS,40,63429513.49,24391612.91,87821126.4
2018,EBS,41,133882529.2,45932592.87,179815122.1
2018,EBS,42,229110546.6,73730896.82,302841443.4
2018,EBS,43,315650467.7,76837124.38,392487592.1
2018,EBS,44,317619550.3,126138361.6,443757911.9
2018,EBS,45,284150743.8,119725836.1,403876579.9
2018,EBS,46,280036070.3,155380816.7,435416887
2018,EBS,47,237514929,239590526.2,477105455.2
2018,EBS,48,143415557.4,308294966.4,451710523.8
2018,EBS,49,112497842.5,292098591.4,404596433.9
2018,EBS,50,84940214.49,272409348.1,357349562.6
2018,EBS,51,55130928.85,274673190.5,329804119.4
2018,EBS,52,39213374.93,215549004.8,254762379.7
2018,EBS,53,43597139.57,224858453.7,268455593.3
2018,EBS,54,34341346.56,189128880.6,223470227.2
2018,EBS,55,15165099.95,143675865.8,158840965.8
2018,EBS,56,17859554.76,98776336.19,116635891
2018,EBS,57,10762522.89,82141292.57,92903815.46
2018,EBS,58,6141644.78,58274427.4,64416072.18
2018,EBS,59,4086026.24,38706563.22,42792589.46
2018,EBS,60,2070582.63,28640791.24,30711373.87
2018,EBS,61,501128.37,29006280.87,29507409.24
2018,EBS,62,571919.78,38748846.25,39320766.03
2018,EBS,63,107131.76,25503765.4,25610897.16
2018,EBS,64,58345.24,20621560.96,20679906.2
2018,EBS,65,0,16240724.12,16240724.12
2018,EBS,66,0,14867346.5,14867346.5
2018,EBS,67,0,17557780.86,17557780.86
2018,EBS,68,17903.2,7107678.53,7125581.73
2018,EBS,69,28573.52,5272918.72,5301492.24
2018,EBS,70,0,1719524.03,1719524.03
2018,EBS,71,0,1812992.46,1812992.46
2018,EBS,72,0,2023906.85,2023906.85
2018,EBS,73,0,507825.38,507825.38
2018,EBS,74,0,216862.81,216862.81
2018,EBS,75,196475.67,200602.22,397077.89
2018,EBS,76,0,327866.42,327866.42
2018,EBS,77,27000.57,674193.09,701193.66
2018,EBS,78,0,73646.76,73646.76
2018,EBS,79,0,102057.89,102057.89
2018,EBS,80,0,56822.26,56822.26
2018,EBS,81,0,0,0
2018,EBS,82,0,0,0
2018,EBS,83,0,28320.15,28320.15
2018,EBS,84,0,33648.99,33648.99
2018,EBS,85,0,0,0
2018,EBS,86,0,0,0
2018,EBS,87,0,0,0
2018,EBS,88,0,0,0
2018,EBS,89,0,0,0
2018,EBS,90,0,0,0
2018,EBS,91,0,0,0
2018,EBS,92,0,0,0
2018,EBS,93,0,0,0
2018,EBS,94,0,222864.33,222864.33
2019,EBS,11,16754.22,0,16754.22
2019,EBS,12,0,0,0
2019,EBS,13,0,0,0
